,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
153,id_1882,12,Daquq,2602013,109,14960,Kirkuk,Daquq,Taza-Omer Bin Khattab,قرية عمر بن الخطاب,35.23892701,44.38867536,205,Markaz Daquq,Kirkuk,1031,0.198836081,13
154,id_1888,11,Daquq,2602035,109,33476,Kirkuk,Daquq,Hay Al-Salam ( Daquq ),حي السلام ( داقوق ),35.15292917,44.44276717,150,Markaz Daquq,Kirkuk,1031,0.145489816,12
155,id_1889,7,Daquq,2602036,109,15110,Kirkuk,Daquq,Hay Klisa 1,حي كليسة 1,35.1603029,44.44070356,100,Markaz Daquq,Kirkuk,1031,0.09699321,8
156,id_1890,5,Daquq,2602037,109,21483,Kirkuk,Daquq,Hay Nawroz ( Daquq),حي نوروز ( داقوق ),35.13885842,44.43985393,87,Markaz Daquq,Kirkuk,1031,0.084384093,6
157,id_1891,3,Daquq,2602038,109,33477,Kirkuk,Daquq,Hay Runaki / Daquq,حي روناكي \ داقوق,35.14833029,44.44449702,85,Markaz Daquq,Kirkuk,1031,0.082444229,4
158,id_1895,6,Kirkuk,2603006,109,24084,Kirkuk,Kirkuk,Al Tadamon(Hawkari),حي التضامن-هاوكاري-,35.41012372,44.39020473,900,Markaz Kirkuk,Kirkuk,13581,0.066269052,7
159,id_1899,17,Dibis,2603011,109,15449,Kirkuk,Kirkuk,Bajwan,قرية باجوان,35.54110409,44.28251137,110,Altun Qupri,Kirkuk,351,0.313390313,18
160,id_1902,6,Kirkuk,2603014,109,15624,Kirkuk,Kirkuk,Hay Adan,حي عدن,35.40887647,44.37361404,195,Markaz Kirkuk,Kirkuk,13581,0.014358295,7
161,id_1904,30,Kirkuk,2603016,109,22296,Kirkuk,Kirkuk,Hay Al Jamia-Mahalla 622,حي الجامعة-622,35.40793818,44.32647667,2128,Taza Khormato,Kirkuk,13581,0.156689493,31
162,id_1909,6,Kirkuk,2603022,109,15578,Kirkuk,Kirkuk,Hay Al-Khadraa,حي الخضراء,35.43432477,44.35142261,140,Markaz Kirkuk,Kirkuk,13581,0.010308519,7
163,id_1912,6,Kirkuk,2603025,109,15658,Kirkuk,Kirkuk,Hay Al-Sinay,حي الصناعي,35.35602903,44.30501475,175,Taza Khormato,Kirkuk,13581,0.012885649,7
